scopus,doi,title,type,year,source,page,volume,reader_count,link,given-name,sur_name,citedby_count,h_index,doc_total,citedby_doc,coauthors_total
2-s2.0-84896495157,10.1080/09585192.2013.860388,The consensus between Italian HR and sustainability managers on HR management for sustainability-driven change - towards a 'strong' HR management system,journal,2014,International Journal of Human Resource Management,1787-1814,25,47,http://www.mendeley.com/research/consensus-between-italian-hr-sustainability-managers-hr-management-sustainabilitydriven-change-towar,Marco,Guerci,13,9,26,132,30
2-s2.0-79961056139,10.1287/ijoc.1100.0407,A cluster-based context-tree model for multivariate data streams with applications to anomaly detection,journal,2011,INFORMS Journal on Computing,364-376,23,17,http://www.mendeley.com/research/clusterbased-contexttree-model-multivariate-data-streams-applications-anomaly-detection,Pierre,Brice,5,2,3,10,2
2-s2.0-84893209619,10.1145/2532641,Oblivious bounds on the probability of boolean functions,journal,2014,ACM Transactions on Database Systems,Jan-34,39,6,http://www.mendeley.com/research/oblivious-bounds-probability-boolean-functions,Wolfgang,Gatterbauer,5,12,30,398,31
2-s2.0-78650612279,10.1080/00207543.2010.518737,A multi-agent-based mould due date setting approach in stochastic production,journal,2011,International Journal of Production Research,1353-1371,49,16,http://www.mendeley.com/research/multiagentbased-mould-due-date-setting-approach-stochastic-production,J. J.,Liu,10,4,19,42,12
2-s2.0-70449632601,10.1080/00207540701881852,Mobile Spatial coordinate Measuring System (MScMS) - Introduction to the system,journal,2009,International Journal of Production Research,3867-3889,47,26,http://www.mendeley.com/research/mobile-spatial-coordinate-measuring-system-mscms-introduction-system,Fiorenzo,Franceschini,22,21,133,1138,39
2-s2.0-84896419368,10.1007/s10845-014-0896-5,Manufacturing intelligence and innovation for digital manufacturing and operational excellence,conference_proceedings,2014,Journal of Intelligent Manufacturing,845-847,25,28,http://www.mendeley.com/research/manufacturing-intelligence-innovation-digital-manufacturing-operational-excellence,Chen-Fu,Chien,5,27,169,1752,150
2-s2.0-84938422101,10.1080/1359432X.2015.1018184,Effective coordination in medical emergency teams: The moderating role of task type,journal,2015,European Journal of Work and Organizational Psychology,761-776,24,29,http://www.mendeley.com/research/effective-coordination-medical-emergency-teams-moderating-role-task-type,Jan,Schmutz,10,4,13,129,16
2-s2.0-79953007325,10.1080/0951192X.2011.554874,Development of a wireless PlugandLean system for improving manufacturing equipment diagnosis,journal,2011,International Journal of Computer Integrated Manufacturing,338-351,24,12,http://www.mendeley.com/research/development-wireless-plugandlean-system-improving-manufacturing-equipment-diagnosis,Javier,Santos,1,8,38,190,39
2-s2.0-84872136928,10.1109/MS.2012.172,Leveraging transparency,journal,2013,IEEE Software,37-43,30,56,http://www.mendeley.com/research/leveraging-transparency-1,Laura,Dabbish,30,19,60,2656,70
2-s2.0-78349254632,10.1080/00207540903365308,An integrated fuzzy approach for the selection of outsourcing manufacturing partners in pharmaceutical RD,journal,2010,International Journal of Production Research,7483-7506,48,31,http://www.mendeley.com/research/integrated-fuzzy-approach-selection-outsourcing-manufacturing-partners-pharmaceutical-rd,Liang-Hsuan,Chen,29,25,75,1537,43
2-s2.0-38849173918,10.1080/10447310701702717,HCI and societal issues: A framework for engagement,journal,2007,International Journal of Human-Computer Interaction,339-374,23,102,http://www.mendeley.com/research/hci-societal-issues-framework-engagement,Harry,Hochheiser,30,15,67,841,150
2-s2.0-36248972280,10.1007/s10660-007-9009-2,Investigating antecedents of technology acceptance of initial eCRM users beyond generation X and the role of self-construal,journal,2007,Electronic Commerce Research,315-339,7,48,http://www.mendeley.com/research/investigating-antecedents-technology-acceptance-initial-ecrm-users-beyond-generation-x-role-selfcons,Qimei,Chen,32,15,37,3128,52
2-s2.0-29044433033,10.1061/(ASCE)0733-9364(2005)131:12(1301),"Mixed Reality-Based Visualization Interfaces for Architecture, Engineering, and Construction Industry",journal,2005,Journal of Construction Engineering and Management,1301-1309,131,56,http://www.mendeley.com/research/mixed-realitybased-visualization-interfaces-architecture-engineering-construction-industry,Phillip S.,Dunston,38,12,78,399,62
2-s2.0-84904401080,10.1111/joop.12062,Psychological contract breach and employee innovation: A conservation of resources perspective,journal,2014,Journal of Occupational and Organizational Psychology,535-556,87,88,http://www.mendeley.com/research/psychological-contract-breach-employee-innovation-conservation-resources-perspective,Kohyar,Kiazad,25,7,15,170,32
2-s2.0-84993002890,10.1002/agr.20045,Effects of the Swiss retailers’ strategy on the governance structure of the fresh food products supply chains,journal,2005,Agribusiness,237-252,21,17,http://www.mendeley.com/research/effects-swiss-retailers-strategy-governance-structure-fresh-food-products-supply-chains,Sophie,Réviron,4,3,6,18,5
2-s2.0-39449105136,10.1137/060650118,Stability and sensitivity of optimization problems with first order stochastic dominance constraints,journal,2007,SIAM Journal on Optimization,322-337,18,14,http://www.mendeley.com/research/stability-sensitivity-optimization-problems-first-order-stochastic-dominance-constraints,Darinka,Dentcheva,25,16,57,488,21
2-s2.0-84929402310,10.3934/jimo.2015.11.1355,"Optimal acquisition, inventory and production decisions for a closed-loop manufacturing system with legislation constraint",journal,2015,Journal of Industrial and Management Optimization,1355-1373,11,5,http://www.mendeley.com/research/optimal-acquisition-inventory-production-decisions-closedloop-manufacturing-system-legislation-const,Xiaochen,Sun,2,4,31,60,38
2-s2.0-84888019278,10.1007/s10257-012-0209-5,"Using statistics, visualization and data mining for monitoring the quality of meta-data in web portals",journal,2013,Information Systems and e-Business Management,569-595,11,4,http://www.mendeley.com/research/using-statistics-visualization-data-mining-monitoring-quality-metadata-web-portals-3,Marcos Aurélio,Domingues,6,6,36,127,43
2-s2.0-84954481138,10.1002/sres.2225,Using System Dynamics for Grand Challenges: The ESDMA Approach,journal,2015,Systems Research and Behavioral Science,358-375,32,49,http://www.mendeley.com/research/using-system-dynamics-grand-challenges-esdma-approach,Jan H.,Kwakkel,19,18,73,686,79
2-s2.0-79954454002,10.1002/jtr.815,A review of website evaluation studies in the tourism and hospitality fields from 1996 to 2009,generic,2011,International Journal of Tourism Research,234-265,13,118,http://www.mendeley.com/research/review-website-evaluation-studies-tourism-hospitality-fields-1996-2009,Crystal,Ip,60,6,9,218,8
2-s2.0-84875161982,10.1080/09640568.2012.660569,Organisational intentions and responses: Presenting the risk of Lyme disease to countryside users,journal,2013,Journal of Environmental Planning and Management,305-328,56,12,http://www.mendeley.com/research/organisational-intentions-responses-presenting-risk-lyme-disease-countryside-users,Mariella,Marzano,1,14,35,562,115
2-s2.0-72849118789,10.1002/asi.21254,Testing the trade-off between productivity and quality in research activities,journal,2010,Journal of the American Society for Information Science and Technology,132-140,61,8,http://www.mendeley.com/research/testing-tradeoff-between-productivity-quality-research-activities-6,Giovanni,Abramo,19,23,106,971,16
2-s2.0-25144450815,10.1111/j.1540-5885.2005.00136.x,Uses of agent-based modeling in innovation/new product development research,journal,2005,Journal of Product Innovation Management,380-398,22,236,http://www.mendeley.com/research/uses-agentbased-modeling-innovationnew-product-development-research,Rosanna,Garcia,137,14,19,2099,20
2-s2.0-80051909326,10.1007/s10726-011-9235-9,Computational Indicators to Assist Meeting Facilitation,journal,2011,Group Decision and Negotiation,667-684,20,25,http://www.mendeley.com/research/computational-indicators-assist-meeting-facilitation,Adriana S.,Vivacqua,6,8,81,436,92
2-s2.0-84951013504,10.1080/07421222.2015.1095013,Barriers to Interorganizational Knowledge Transfer in Post-Hospital Care Transitions: Review and Directions for Information Systems Research,journal,2015,Journal of Management Information Systems,48-74,32,25,http://www.mendeley.com/research/barriers-interorganizational-knowledge-transfer-posthospital-care-transitions-review-directions-info-5,Shi Ying,Lim,4,1,4,5,4
2-s2.0-84937032387,10.1111/isj.12043,Proposing the control-reactance compliance model (CRCM) to explain opposing motivations to comply with organisational information security policies,journal,2015,Information Systems Journal,433-463,25,93,http://www.mendeley.com/research/proposing-controlreactance-compliance-model-crcm-explain-opposing-motivations-comply-organisational,Paul Benjamin,Lowry,33,28,122,2070,145
2-s2.0-84885800892,10.5600/mmrr.003.02.a03,The impact of electronic health records on ambulatory costs among Medicaid beneficiaries.,journal,2013,Medicare & medicaid research review,16-Jan,3,28,http://www.mendeley.com/research/impact-electronic-health-records-ambulatory-costs-among-medicaid-beneficiaries-6,Julia,Adler-Milstein,5,20,78,1129,102
2-s2.0-24144450816,10.1007/s10479-005-6236-6,Coordination of a supply chain with one-manufacturer and two-retailers under demand promotion and disruption management decisions,journal,2005,Annals of Operations Research,87-109,135,52,http://www.mendeley.com/research/coordination-supply-chain-onemanufacturer-tworetailers-under-demand-promotion-disruption-management,Tiaojun,Xiao,118,18,73,1099,41
2-s2.0-84864658353,10.1080/0144929X.2011.553744,Dual strategy for managing user resistance with business integration systems,journal,2012,Behaviour and Information Technology,909-925,31,59,http://www.mendeley.com/research/dual-strategy-managing-user-resistance-business-integration-systems,Shari S.C.,Shang,5,7,41,606,26
2-s2.0-84924744789,10.2105/AJPH.2014.302456,Economic shocks and public health protections in US metropolitan areas,journal,2015,American Journal of Public Health,S280-S287,105,24,http://www.mendeley.com/research/economic-shocks-public-health-protections-metropolitan-areas,Glen P.,Mays,9,27,93,1163,150
2-s2.0-84886304314,10.1111/j.1467-985X.2012.01075.x,Does high involvement management lead to higher pay?,journal,2013,Journal of the Royal Statistical Society. Series A: Statistics in Society,861-885,176,11,http://www.mendeley.com/research/high-involvement-management-lead-higher-pay,Petri,Böckerman,4,19,69,892,58
2-s2.0-70449707601,10.1080/10580530902794760,Exploring IT governance in theory and practice in a large multi-national organisation in Australia,journal,2009,Information Systems Management,98-109,26,115,http://www.mendeley.com/research/exploring-it-governance-theory-practice-large-multinational-organisation-australia,Phyl,Willson,46,2,7,54,7
2-s2.0-24144494151,10.1007/s10479-005-6244-6,Analysis of a duopoly supply chain and its application in electricity spot markets,journal,2005,Annals of Operations Research,239-259,135,9,http://www.mendeley.com/research/analysis-duopoly-supply-chain-application-electricity-spot-markets,Suresh P.,Sethi,10,42,298,5535,150
2-s2.0-79960347700,10.1080/10580530.2011.585581,Contrasting ERP absorption between transition and developed economies from Central and Eastern Europe (CEE),journal,2011,Information Systems Management,240-257,28,33,http://www.mendeley.com/research/contrasting-erp-absorption-between-transition-developed-economies-central-eastern-europe-cee,Edward W. N.,Bernroider,30,13,51,639,39
2-s2.0-84948579482,10.1007/s10479-015-1990-6,Personnel scheduling and supplies provisioning in emergency relief operations,journal,2015,Annals of Operations Research,487-515,235,23,http://www.mendeley.com/research/personnel-scheduling-supplies-provisioning-emergency-relief-operations,Lei,Lei,3,17,43,688,55
2-s2.0-34147220129,10.1002/bdm.547,Aggregation of opinions based on correlated cues and advisors,journal,2007,Journal of Behavioral Decision Making,153-177,20,23,http://www.mendeley.com/research/aggregation-opinions-based-correlated-cues-advisors,David V.,Budescu,25,37,136,3392,123
2-s2.0-34548273006,10.1145/1275517.1275520,Gossip-based peer sampling,journal,2007,ACM Transactions on Computer Systems,8-es,25,112,http://www.mendeley.com/research/gossipbased-peer-sampling,Márk,Jelasity,286,22,90,2062,129
2-s2.0-82455191664,10.1287/orsc.1100.0600,Network Exchange Patterns in Online Communities,journal,2011,Organization Science,1464-1480,22,267,http://www.mendeley.com/research/network-exchange-patterns-online-communities,Samer,Faraj,116,23,64,5753,88
2-s2.0-84933533919,10.1080/10580530.2015.1044344,Quality and Value of the Data Resource in Large Enterprises,journal,2015,Information Systems Management,234-251,32,31,http://www.mendeley.com/research/quality-value-data-resource-large-enterprises-1,Boris,Otto,6,13,66,473,73
2-s2.0-84922445626,10.1093/jigpal/jzu035,Clustering extension of MOVICAB-IDS to identify SNMP community searches,journal,2014,Logic Journal of the IGPL,121-140,23,4,http://www.mendeley.com/research/clustering-extension-movicabids-identify-snmp-community-searches,Raúl,Sánchez,2,2,4,9,2
2-s2.0-84901238721,10.1007/s10207-013-0214-9,Risk balance defense approach against intrusions for network server,journal,2014,International Journal of Information Security,255-269,13,6,http://www.mendeley.com/research/risk-balance-defense-approach-against-intrusions-network-server,Chengpo,Mu,1,8,34,159,36
2-s2.0-84920885174,10.1377/hlthaff.2014.1008,The invisible homebound: Setting quality-of-care standards for home-based primary and palliative care,journal,2015,Health Affairs,21-29,34,53,http://www.mendeley.com/research/invisible-homebound-setting-qualityofcare-standards-homebased-primary-palliative-care,Bruce,Leff,28,30,146,2132,150
2-s2.0-77956374558,10.1002/asi.21366,Discarding the 'basic science/applied science' dichotomy: A Knowledge Utilization Triangle classification system of research journals,journal,2010,Journal of the American Society for Information Science and Technology,1842-1852,61,23,http://www.mendeley.com/research/discarding-basic-scienceapplied-science-dichotomy-knowledge-utilization-triangle-classification-syst,Robert J. W.,Tijssen,31,40,124,3555,102
2-s2.0-19844367054,10.1080/13504850500065745,A technical analysis approach to tourism demand forecasting,journal,2005,Applied Economics Letters,327-333,12,16,http://www.mendeley.com/research/technical-analysis-approach-tourism-demand-forecasting,C.,Petropoulos,15,3,4,41,7
2-s2.0-84903166244,10.1109/MS.2014.92,Service orchestration with Rundeck,journal,2014,IEEE Software,16-18,31,8,http://www.mendeley.com/research/service-orchestration-rundeck,Diomidis,Spinellis,2,27,211,2801,109
2-s2.0-84899664241,10.3233/WOR-131628,Modifiable workplace risk factors contributing to workplace absence across health conditions: A stakeholder-centered best-evidence synthesis of systematic reviews,journal,2013,Work,475-492,45,51,http://www.mendeley.com/research/modifiable-workplace-risk-factors-contributing-workplace-absence-across-health-conditions-stakeholde,Marc,White,17,2,3,18,24
2-s2.0-78649354241,10.1093/bib/bbq023,Bioinformatics training: Selecting an appropriate learning content management systemc-an example from the European Bioinformatics Institute,journal,2010,Briefings in Bioinformatics,552-562,11,64,http://www.mendeley.com/research/bioinformatics-training-selecting-appropriate-learning-content-management-systemcan-example-european,Victoria Ann,Wright,4,1,2,4,5
2-s2.0-72249096217,10.1111/j.1539-6924.2009.01328.x,Pandemic recovery analysis using the dynamic inoperability input-output model,journal,2009,Risk Analysis,1743-1758,29,10,http://www.mendeley.com/research/pandemic-recovery-analysis-using-dynamic-inoperability-inputoutput-model-5,Joost R.,Santos,20,19,74,647,75
2-s2.0-84868711166,10.1080/00207543.2011.649799,Memes coevolution strategies for fast convergence in solving single machine scheduling problems,journal,2012,International Journal of Production Research,7357-7377,50,7,http://www.mendeley.com/research/memes-coevolution-strategies-fast-convergence-solving-single-machine-scheduling-problems,Wei-Hsiu,Huang,3,7,19,218,25
2-s2.0-84936937270,10.1377/hlthaff.2015.0165,An examination of medicaid delivery system reform incentive payment initiatives under way in six states,journal,2015,Health Affairs,1162-1169,34,27,http://www.mendeley.com/research/examination-medicaid-delivery-system-reform-incentive-payment-initiatives-under-way-six-states,Michael K.,Gusmano,10,15,94,619,71
2-s2.0-84890569521,10.1080/00207543.2013.849825,Variable very large neighbourhood algorithms for truck sequencing at transshipment terminals,journal,2013,International Journal of Production Research,7140-7155,51,9,http://www.mendeley.com/research/variable-very-large-neighbourhood-algorithms-truck-sequencing-transshipment-terminals,Dirk,Briskorn,2,11,58,658,53
2-s2.0-84904643688,10.1287/msom.2014.0480,Purchasing scarce products under dynamic pricing: An experimental investigation,journal,2014,Manufacturing and Service Operations Management,425-438,16,16,http://www.mendeley.com/research/purchasing-scarce-products-under-dynamic-pricing-experimental-investigation,Vincent,Mak,6,6,19,81,17
2-s2.0-84888108155,10.1377/hlthaff.2013.0539,Expanding primary care capacity by reducing waste and improving the efficiency of care,journal,2013,Health Affairs,1990-1997,32,82,http://www.mendeley.com/research/expanding-primary-care-capacity-reducing-waste-improving-efficiency-care,Scott A.,Shipman,43,16,43,1053,89
2-s2.0-84877828723,10.1080/02642069.2013.740463,The value of business managers' 'Information Technology' competence,journal,2013,Service Industries Journal,720-733,33,11,http://www.mendeley.com/research/value-business-managers-information-technology-competence,Carlos,Devece,8,8,29,294,37
2-s2.0-84857022896,10.1080/01446193.2011.654127,Knowledge integration process in construction projects: a social network analysis approach to compare competitive and collaborative working,journal,2012,Construction Management and Economics,19-May,30,40,http://www.mendeley.com/research/knowledge-integration-process-construction-projects-social-network-analysis-approach-compare-competi,Ximing,Ruan,23,4,14,61,20
2-s2.0-84890213028,10.1377/hlthaff.2013.0884,Creating integrated networks of emergency care: From vision to value,journal,2013,Health Affairs,2082-2090,32,27,http://www.mendeley.com/research/creating-integrated-networks-emergency-care-vision-value,Ricardo,Martinez,9,11,48,302,66
2-s2.0-72849107485,10.1002/asi.21180,Data mining emotion in social network communication: Gender differences in MySpace,journal,2010,Journal of the American Society for Information Science and Technology,190-199,61,119,http://www.mendeley.com/research/data-mining-emotion-social-network-communication-gender-differences-myspace-25,Mike,Thelwall,171,54,379,5791,150
2-s2.0-27944510130,10.1080/0144929042000320992,Perceived security determinants in e-commerce among Turkish university students,journal,2005,Behaviour and Information Technology,259-274,24,78,http://www.mendeley.com/research/perceived-security-determinants-ecommerce-among-turkish-university-students,M. M.,Yenisey,60,7,13,374,12
2-s2.0-77957151995,10.1080/0951192X.2010.490275,The lifecycle of active and intelligent products: The augmentation concept,journal,2010,International Journal of Computer Integrated Manufacturing,905-924,23,27,http://www.mendeley.com/research/lifecycle-active-intelligent-products-augmentation-concept,Yves,Sallez,35,12,52,325,66
2-s2.0-84876080796,10.1007/s11213-012-9251-y,Electronic Medical Records (EMR) and Nurses in Turkish Hospitals,generic,2013,Systemic Practice and Action Research,281-297,26,34,http://www.mendeley.com/research/electronic-medical-records-emr-nurses-turkish-hospitals,Mehmet,Top,4,7,26,120,26
2-s2.0-84880306955,10.1080/09585192.2013.775028,The role of hospitals' HRM in shaping clinical performance: A holistic approach,journal,2013,International Journal of Human Resource Management,3062-3085,24,46,http://www.mendeley.com/research/role-hospitals-hrm-shaping-clinical-performance-holistic-approach,Keith,Townsend,10,12,70,370,48
2-s2.0-84900030222,10.2753/MIS0742-1222300407,Explicit and Implicit Antecedents of Users' Behavioral Beliefs in Information Systems: A Neuropsychological Investigation,journal,2014,Journal of Management Information Systems,179-210,30,79,http://www.mendeley.com/research/explicit-implicit-antecedents-users-behavioral-beliefs-information-systems-neuropsychological-invest,Ana,De Guinea,32,7,18,432,37
2-s2.0-27844580776,10.1002/asi.20237,A heuristic method based on a statistical approach for Chinese text segmentation,journal,2005,Journal of the American Society for Information Science and Technology,1438-1447,56,3,http://www.mendeley.com/research/heuristic-method-based-statistical-approach-chinese-text-segmentation-2,Christopher C.,Yang,18,22,184,1351,126
2-s2.0-84904103765,10.2308/jmar-50621,The Use of Management Controls to Mitigate Risk in Strategic Alliances: Field and Survey Evidence,journal,2014,Journal of Management Accounting Research,Jan-32,26,78,http://www.mendeley.com/research/management-controls-mitigate-risk-strategic-alliances-field-survey-evidence,Shannon W.,Anderson,20,17,25,974,17
2-s2.0-84903999225,10.1002/asi.23068,The effects of information privacy concerns on digitizing personal health records,journal,2014,Journal of the Association for Information Science and Technology,1541-1554,65,9,http://www.mendeley.com/research/effects-information-privacy-concerns-digitizing-personal-health-records,Ting,Li,10,5,18,103,24
2-s2.0-79251523208,10.1002/kpm.365,An AHP-based framework for selecting knowledge management tools to sustain innovation process,journal,2011,Knowledge and Process Management,45-55,18,31,http://www.mendeley.com/research/ahpbased-framework-selecting-knowledge-management-tools-sustain-innovation-process,Michele,Grimaldi,42,16,55,524,29
2-s2.0-34247539500,10.5465/AMR.2007.24351441,Group decision making under conditions of distributed knowledge: The information asymmetries model,journal,2007,Academy of Management Review,459-479,32,80,http://www.mendeley.com/research/group-decision-making-under-conditions-distributed-knowledge-information-asymmetries-model-11,Felix C.,Brodbeck,163,25,49,2194,150
2-s2.0-33646391547,10.1509/jmkg.70.2.108,Stuck in the Past: Why Managers Persist with New Product Failures,journal,2006,Journal of Marketing,108-121,70,152,http://www.mendeley.com/research/stuck-past-managers-persist-new-product-failures,Eyal,Biyalogorsky,87,7,12,398,12
2-s2.0-30844436818,10.1080/00207540500319294,A CAD-linked virtual assembly environment,journal,2006,International Journal of Production Research,467-486,44,19,http://www.mendeley.com/research/cadlinked-virtual-assembly-environment,Q. H.,Wang,38,13,71,419,94
2-s2.0-29344472047,10.1111/j.1468-2370.2005.00110.x,"Editorial - International Journal of Management Reviews: History, purpose and mission",magazine_article,2005,International Journal of Management Reviews,131-133,7,22,http://www.mendeley.com/research/editorial-international-journal-management-reviews-history-purpose-mission,Steve,Armstrong,1,14,31,601,26
2-s2.0-47749150318,10.1080/09511920701575195,An integrated group decision-making approach for new product development,journal,2008,International Journal of Computer Integrated Manufacturing,366-375,21,3,http://www.mendeley.com/research/integrated-group-decisionmaking-approach-new-product-development,O.,Feyzioǧlu,25,11,45,673,28
2-s2.0-84878654068,10.1080/09585192.2012.744337,High-performance work systems and the change management process in medium-sized firms,journal,2013,International Journal of Human Resource Management,2583-2607,24,12,http://www.mendeley.com/research/highperformance-work-systems-change-management-process-mediumsized-firms-6,Edoardo,Della Torre,13,4,12,31,9
2-s2.0-80053958710,10.1111/j.1467-9671.2011.01286.x,Using Federated Catalogs to Improve Semantic Integration among Spatial Data Infrastructures,journal,2011,Transactions in GIS,707-722,15,27,http://www.mendeley.com/research/using-federated-catalogs-improve-semantic-integration-among-spatial-data-infrastructures,Fabio Gomes,De Andrade,7,4,11,39,17
2-s2.0-84939986716,10.1007/s40273-014-0242-y,Economic Features of Antibiotic Resistance: The Case of Methicillin-Resistant Staphylococcus aureus,journal,2015,PharmacoEconomics,285-325,33,36,http://www.mendeley.com/research/economic-features-antibiotic-resistance-case-methicillinresistant-staphylococcus-aureus,Fernando,Antonanzas,9,20,128,1466,150
2-s2.0-61349162996,10.1287/isre.1070.0147,A comparison of pair versus solo programming under different objectives: An analytical approach,journal,2008,Information Systems Research,71-92,19,63,http://www.mendeley.com/research/comparison-pair-versus-solo-programming-under-different-objectives-analytical-approach,Milind,Dawande,22,22,90,1578,85
2-s2.0-79955424477,10.1145/1941487.1941515,Challenges and business models for mobile location-based services and advertising,journal,2011,Communications of the ACM,121,54,264,http://www.mendeley.com/research/challenges-business-models-mobile-locationbased-services-advertising-7,Subhankar,Dhar,154,6,23,327,15
2-s2.0-71049125694,10.1111/j.1468-0394.2009.00509.x,Unlabelled extra data do not always mean extra performance for semi-supervised fault prediction,journal,2009,Expert Systems,458-471,26,9,http://www.mendeley.com/research/unlabelled-extra-data-not-always-mean-extra-performance-semisupervised-fault-prediction,Cagatay,Catal,20,14,42,595,39
2-s2.0-84887076191,10.1080/13669877.2012.737820,A composite indicator model to assess natural disaster risks in industry on a spatial level,journal,2013,Journal of Risk Research,1077-1099,16,63,http://www.mendeley.com/research/composite-indicator-model-assess-natural-disaster-risks-industry-spatial-level,Mirjam,Merz,16,7,10,87,23
2-s2.0-21244455269,10.1081/QEN-200056448,Using CUSUM control schemes for monitoring quality levels in compound poisson production environment: The geometric poisson process,journal,2005,Quality Engineering,207-217,17,5,http://www.mendeley.com/research/using-cusum-control-schemes-monitoring-quality-levels-compound-poisson-production-environment-geomet,Ching-Wen,Chen,11,10,28,257,21
2-s2.0-84939883599,10.1007/s10726-014-9417-3,Numerical Methods to Calculate Fuzzy Boundaries for Brownfield Redevelopment Negotiations,journal,2015,Group Decision and Negotiation,515-536,24,9,http://www.mendeley.com/research/numerical-methods-calculate-fuzzy-boundaries-brownfield-redevelopment-negotiations,Qian,Wang,2,3,5,48,5
2-s2.0-84887320293,10.1007/s10490-012-9321-9,"Uncertainties, resources, and supplier selection in an emerging economy",journal,2013,Asia Pacific Journal of Management,1219-1242,30,32,http://www.mendeley.com/research/uncertainties-resources-supplier-selection-emerging-economy,En,Xie,8,12,32,505,28
2-s2.0-33645694557,10.1207/s15327590ijhc2002_1,Creativity support tools: Report from a U.S. National Science Foundation sponsored workshop,generic,2006,International Journal of Human-Computer Interaction,61-77,20,65,http://www.mendeley.com/research/creativity-support-tools-report-national-science-foundation-sponsored-workshop-9,Ben,Shneiderman,106,70,398,14164,150
2-s2.0-33644559970,10.1287/opre.1050.0238,A Robust Optimization Approach to Inventory Theory,journal,2006,Operations Research,150-168,54,215,http://www.mendeley.com/research/robust-optimization-approach-inventory-theory,Dimitris,Bertsimas,254,46,185,7048,139
2-s2.0-31944448928,10.1111/j.1539-6924.2005.00684.x,Measurement and pricing of risk in insurance markets,generic,2005,Risk Analysis,1653-1668,25,19,http://www.mendeley.com/research/measurement-pricing-risk-insurance-markets,Andreas,Tsanakas,20,11,27,224,27
2-s2.0-84864533984,10.1111/j.1467-9671.2012.01305.x,Mapping Collaboration in Open Source Geospatial Ecosystem,journal,2012,Transactions in GIS,581-597,16,37,http://www.mendeley.com/research/mapping-collaboration-open-source-geospatial-ecosystem,Jianhua,Shao,7,4,6,347,16
2-s2.0-81855193654,10.1061/(ASCE)CO.1943-7862.0000332,Sensing and Field Data Capture for Construction and Facility Operations,journal,2011,Journal of Construction Engineering and Management,870-881,137,56,http://www.mendeley.com/research/sensing-field-data-capture-construction-facility-operations,Saurabh,Taneja,25,4,6,69,15
2-s2.0-33644615192,10.1111/j.1540-5885.2006.00189.x,An international investigation of problem-solving performance in the semiconductor industry,conference_proceedings,2006,Journal of Product Innovation Management,147-167,23,43,http://www.mendeley.com/research/international-investigation-problemsolving-performance-semiconductor-industry,Melissa M.,Appleyard,13,9,14,882,24
2-s2.0-84877621527,10.1007/s10207-012-0189-y,Definition of an advanced identity management infrastructure,journal,2013,International Journal of Information Security,173-200,12,22,http://www.mendeley.com/research/definition-advanced-identity-management-infrastructure,Ginés,Dólera Tormo,9,4,8,36,8
2-s2.0-33846344673,10.1002/asi.20474,Punishment and ethics deterrents: A study of insider security contravention,journal,2007,Journal of the American Society for Information Science and Technology,212-222,58,54,http://www.mendeley.com/research/punishment-ethics-deterrents-study-insider-security-contravention,Michael,Workman,54,15,40,683,18
2-s2.0-84858781434,10.1287/isre.1110.0382,The role of information systems in healthcare: Current research and future trends,magazine_article,2011,Information Systems Research,419-428,22,237,http://www.mendeley.com/research/role-information-systems-healthcare-current-research-future-trends,Robert G.,Fichman,160,14,23,1932,29
2-s2.0-84957707859,10.1287/isre.2015.0597,Versioning in the software industry: Heterogeneous disutility from underprovisioning of functionality,journal,2015,Information Systems Research,731-753,26,25,http://www.mendeley.com/research/versioning-software-industry-heterogeneous-disutility-underprovisioning-functionality,Shivendu,Shivendu,2,6,18,189,9
2-s2.0-79953808353,10.1080/00207543.2010.492797,Real-time scheduling of multi-stage flexible job shop floor,journal,2011,International Journal of Production Research,3715-3730,49,13,http://www.mendeley.com/research/realtime-scheduling-multistage-flexible-job-shop-floor-4,Myoungsoo,Ham,17,6,10,68,17
2-s2.0-29444437699,10.1007/s10257-005-0013-6,An analysis of the driving forces for Web services adoption,journal,2005,Information Systems and e-Business Management,265-279,3,14,http://www.mendeley.com/research/analysis-driving-forces-web-services-adoption,Minder,Chen,16,9,15,425,20
2-s2.0-29244488768,10.1093/imaman/dpi027,Diagnosis of tool wear based on regression analysis and fuzzy logic,journal,2006,IMA Journal of Management Mathematics,47-60,17,2,http://www.mendeley.com/research/diagnosis-tool-wear-based-regression-analysis-fuzzy-logic,Erkki,Jantunen,4,11,52,498,60
2-s2.0-34249663808,10.1080/09585190701248133,Human resource management with 'Asian' characteristics: A hybrid people-management system in East Asia,journal,2007,International Journal of Human Resource Management,745-768,18,64,http://www.mendeley.com/research/human-resource-management-asian-characteristics-hybrid-peoplemanagement-system-east-asia,Ying,Zhu,96,19,90,608,46
2-s2.0-78649777583,10.1007/s10479-010-0736-8,Facility location for large-scale emergencies,journal,2010,Annals of Operations Research,271-286,181,47,http://www.mendeley.com/research/facility-location-largescale-emergencies,Rongbing,Huang,40,9,31,255,32
2-s2.0-33947142577,10.1007/s10107-006-0064-6,On approximating complex quadratic optimization problems via semidefinite programming relaxations,journal,2007,Mathematical Programming,93-110,110,16,http://www.mendeley.com/research/approximating-complex-quadratic-optimization-problems-via-semidefinite-programming-relaxations,Anthony Man-Cho,So,45,19,68,1834,69
